GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectPOO1,TP1,TShirt.Padrao,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,Transportadoras,55,292,12,22,10,73,10,28,1,20
projectPOO1,TP1,Sapatilhas,6,275,9,15,2,65,9,20,0,17
projectPOO1,TP1,Encomenda.Dimensao_Embalagem,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,ViewMain,230,0,0,0,40,0,12,0,12,0
projectPOO1,TP1,ControladorArtigo,520,0,23,0,112,0,18,0,5,0
projectPOO1,TP1,Artigo,8,393,12,16,4,101,13,29,1,27
projectPOO1,TP1,Apresentacao,89,0,0,0,37,0,17,0,17,0
projectPOO1,TP1,Artigo.Avaliação,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,ControladorEncomenda,360,0,35,0,86,0,29,0,10,0
projectPOO1,TP1,Malas.Tipos_Malas,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Malas,83,171,10,12,12,45,11,15,1,14
projectPOO1,TP1,Sapatilhas.Tipos_Sapatilhas,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Estados,47,0,0,0,16,0,3,0,3,0
projectPOO1,TP1,ControladorTransportadoras,109,0,2,0,24,0,5,0,4,0
projectPOO1,TP1,Controlador,582,0,55,0,137,0,42,0,4,0
projectPOO1,TP1,Utilizador,225,441,41,17,45,100,33,35,7,32
projectPOO1,TP1,Vintage,1055,118,103,9,185,27,97,10,44,7
projectPOO1,TP1,Artigo.Estado,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Input,189,0,18,0,55,0,16,0,7,0
projectPOO1,TP1,ControladorUtilizador,172,0,12,0,37,0,11,0,4,0
projectPOO1,TP1,Output,272,0,24,0,61,0,22,0,10,0
projectPOO1,TP1,TShirt.Tamanho,0,44,0,0,0,5,0,1,0,1
projectPOO1,TP1,ViewLogin,24,0,0,0,5,0,2,0,2,0
projectPOO1,TP1,TShirt,49,103,8,8,8,28,8,11,1,10
projectPOO1,TP1,Encomenda.Estado_Encomenda,0,44,0,0,0,5,0,1,0,1
projectPOO1,TP1,VintageAPP,20,0,0,0,6,0,2,0,2,0
projectPOO1,TP1,Encomenda,241,317,27,17,31,87,23,28,2,27
